icao_code,type,latitude,longitude
ETNW,medium_airport,52.457298,9.42717
ETOU,medium_airport,50.049800872802734,8.325400352478027
ETSB,medium_airport,50.173801,7.06333
ETSI,medium_airport,48.7156982421875,11.534000396728516
ETSL,medium_airport,48.185504,10.8612
ETSN,medium_airport,48.710999,11.2115
K61B,medium_airport,35.947161,-114.858799
K67L,medium_airport,36.833105,-114.055928
KABR,medium_airport,45.449100494384766,-98.42179870605469
KBAB,medium_airport,39.136101,-121.436996
KBCE,medium_airport,37.706401825,-112.144996643
KBDE,medium_airport,48.728401,-94.612198
KBED,medium_airport,42.470001,-71.289001
KBJI,medium_airport,47.50939941,-94.93370056
KBKE,medium_airport,44.837299346900004,-117.808998108
KBOS,large_airport,42.36197,-71.0079
KBUR,large_airport,34.202834,-118.35805
KBVY,medium_airport,42.584202,-70.916496
KBYS,medium_airport,35.2804985046,-116.629997253
KCCR,medium_airport,37.9897,-122.056999
KCDC,medium_airport,37.70100021362305,-113.0989990234375
KCDR,medium_airport,42.837601,-103.095001
KCNY,medium_airport,38.755001,-109.754997
KCPR,medium_airport,42.907381,-106.461609
KDAG,medium_airport,34.85369873,-116.7870026
KGFK,medium_airport,47.949299,-97.176102
KGJT,medium_airport,39.126663,-108.529387
KGPI,medium_airport,48.310501,-114.255997
KHDN,medium_airport,40.481201,-107.218002
KHHR,medium_airport,33.922798,-118.334999
KJMS,medium_airport,46.92969894,-98.67819977
KLAR,medium_airport,41.31209945678711,-105.67500305175781
KLAS,large_airport,36.083361,-115.151817
KLAX,large_airport,33.942501,-118.407997
KLGB,large_airport,33.816523,-118.149891
KLSV,medium_airport,36.2361984253,-115.033996582
KLWM,medium_airport,42.717201232899995,-71.1233978271
KLWS,medium_airport,46.3745002746582,-117.01499938964844
KMBG,medium_airport,45.54650116,-100.4079971
KMCC,medium_airport,38.667599,-121.401001
KMHR,medium_airport,38.554744,-121.297989
KMYV,medium_airport,39.09780121,-121.5699997
KNTD,medium_airport,34.120300293,-119.121002197
KNUQ,medium_airport,37.4161,-122.049004
KNXP,medium_airport,34.2962,-116.162003
KOAK,large_airport,37.720085,-122.221184
KONT,large_airport,34.056,-117.600998
KOWD,medium_airport,42.1904983521,-71.1728973389
KPAO,medium_airport,37.461102,-122.114998
KPIR,medium_airport,44.38270187,-100.2860031
KPSM,medium_airport,43.0779,-70.823303
KPSP,large_airport,33.8297,-116.507004
KRAL,medium_airport,33.9519,-117.445
KRAP,medium_airport,44.0452995300293,-103.05699920654297
KRCA,medium_airport,44.14500046,-103.1039963
KRDR,medium_airport,47.961101532,-97.4011993408
KRIL,medium_airport,39.526299,-107.726997
KRIV,medium_airport,33.880699,-117.259003
KRWL,medium_airport,41.80559921,-107.1999969
KSAC,medium_airport,38.5125007629,-121.492996216
KSBD,large_airport,34.096717,-117.236596
KSFO,large_airport,37.619806,-122.374821
KSGU,medium_airport,37.036389,-113.510306
KSJC,large_airport,37.362452,-121.929188
KSLI,medium_airport,33.790864,-118.050342
